"pol_id","losspaid","class4","tgroup"
8456,577,1162,5
8481,488,1101,4
8502,1878,1263,4
8505,709,1152,2
8517,1054,1268,4
8518,750,1162,1
8520,6380,1101,1
8523,1134,1162,3
8540,2826,1162,4
8548,737,1268,4
8589,249,1162,1
8593,2437,1101,4
8600,13421,1101,3
8602,704,1101,6
8628,723,1261,3
8628,8430,1261,3
8637,1822,1101,4
8652,14200,1101,3
8664,1680,1101,3
8667,444,1101,2
8673,547,1101,3
8673,3724,1101,3
8687,319,1162,6
8688,2081,1428,5
8695,459,1101,4
8695,221,1101,4
8695,278,1101,4
8695,505,1101,4
8702,2151,1421,4
8711,270,1101,6
8741,3689,1101,3
8749,858,1101,1
8752,4038,1101,4
8754,1051,1101,6
8773,4376,1101,4
8780,1843,1101,1
8782,1153,1152,1
8803,151,1101,5
8822,1958,1101,5
8822,12396,1101,5
8831,12061,1101,6
8831,7750,1101,6
8834,145,1101,5
8844,1890,1241,6
8875,1747,1101,3
8896,570,1101,1
8908,9136,1101,4
8911,2341,1421,2
8919,2184,1261,2
8936,2564,1101,6
8936,522,1101,6
8965,5516,1101,3
8996,709,1152,5
9002,161,1101,4
9008,1372,1101,5
9008,543,1101,5
9016,6230,1409,3
9020,119,1101,5
9020,435,1101,5
9050,282,1101,6
9057,6213,1103,6
9066,8564,1101,4
9066,6000,1101,4
9067,7800,1101,6
9071,8808,1101,2
9079,1195,1101,5
9101,807,1101,1
9116,631,1101,4
9127,5298,1101,6
9127,816,1101,6
9133,2382,1305,4
9139,8331,1152,3
9139,573,1152,3
9140,830,1152,5
9151,156,1101,2
9157,5000,1101,4
9166,824,1101,5
9188,1111,1101,4
9211,2252,1152,3
9234,522,1101,2
9237,2598,1101,1
9239,5588,1101,1
9241,9650,1101,5
9241,11968,1101,5
9253,14126,1421,4
9256,1222,1101,5
9259,1367,1101,6
9270,4270,1101,3
9281,565,1162,6
9294,787,1101,3
9299,641,1101,4
9304,101,1101,4
9316,1160,1101,2
9317,3287,1269,5
9340,277,1101,4
9342,1071,1162,1
9379,1604,1101,4
9392,949,1162,5
9394,2809,1263,3
9401,3591,1101,6
9406,780,1263,2
9410,902,1101,2
9410,9635,1101,2
9415,307,1101,4
9438,10,1101,6
9439,3156,1101,6
9439,1146,1101,6
9439,1071,1101,6
9439,484,1101,6
9439,1036,1101,6
9442,1231,1305,2
9455,4370,1101,4
9468,733,1207,6
9473,978,1101,4
9476,3031,1101,3
9480,908,1101,5
9481,1173,1101,6
9481,2409,1101,6
9482,1290,1101,1
9496,327,1152,3
9509,1139,1101,1
9524,8169,1101,4
9528,682,1101,5
9529,1516,1101,4
9535,5956,1101,3
9535,12484,1101,3
9560,431,1101,2
9563,392,1101,4
9604,1009,1101,5
9604,407,1101,5
9608,4289,1101,2
9608,24047,1101,2
9608,17750,1101,2
9617,500,1152,6
9621,500,1101,3
9630,12680,1101,2
9649,1541,1101,1
9649,794,1101,1
9659,913,1101,3
9680,898,1101,4
9682,476,1101,1
9682,1277,1101,1
9682,915,1101,1
9692,1712,1101,2
9694,979,1103,2
9694,837,1103,2
9695,435,1101,1
9696,1947,1101,6
9696,1356,1101,6
9707,332,1101,1
9712,523,1101,4
9722,4238,1101,5
9722,30,1101,5
9727,1329,1101,6
9727,1162,1101,6
9734,410,1101,3
9739,3047,1101,3
9744,1282,1101,3
9745,361,1101,3
9757,3733,1101,1
9768,1897,1162,4
9769,6262,1152,5
9772,5500,1101,5
9772,2638,1101,5
9780,4969,1226,4
9780,983,1226,4
9785,437,1101,6
9802,1352,1101,4
9824,5749,1101,2
9828,347,1101,3
9836,668,1152,4
9838,749,1106,6
9842,3220,1101,3
9854,912,1101,4
9866,8689,1162,6
9871,17051,1305,6
9898,3007,1423,5
9898,8377,1423,5
9898,735,1423,5
9899,200,1101,2
9909,231,1101,1
9914,335,1101,4
9940,1354,1101,4
9946,367,1261,5
9947,1208,1152,5
9954,485,1101,4
9954,427,1101,4
9965,2827,1101,2
9965,10053,1101,2
9966,3171,1421,5
9986,3053,1101,5
9992,5988,1152,3
10005,7367,1162,3
10024,1057,1101,4
10027,1888,1243,5
10031,1401,1101,1
10037,3350,1101,5
10037,403,1101,5
10037,21875,1101,5
10042,3765,1101,5
10042,631,1101,5
10047,561,1101,5
10047,1996,1101,5
10048,450,1101,1
10049,1187,1101,2
10051,12558,1101,3
10051,3664,1101,3
10053,1182,1106,6
10053,1490,1106,6
10065,550,1101,2
10074,957,1101,5
10081,752,1305,4
10091,710,1101,3
10099,872,1269,2
10106,336,1101,5
10109,396,1101,1
10112,601,1401,1
10115,1528,1101,5
10115,492,1101,5
10117,2165,1101,1
10133,1855,1268,3
10136,2498,1261,4
10136,2487,1261,4
10143,735,1106,5
10143,526,1106,5
10146,503,1101,1
10162,1861,1261,3
10180,1145,1103,5
10187,486,1101,1
10195,1458,1152,5
